Match,Team,Alliance,Scouter,Auto Fuel,Auto Mobility,Auto Climb,Balls/Sec,Accuracy %,Field Zone,Endgame Climb,Defense Rating,Driver Rating,Played Defense,Notes,Timestamp
1,8767,Red,Joe,17,Yes,None,7,85,Trench,None,4,5,No,"dual shooter",2026-04-01T19:11:10.947Z
5,5460,Red,Joe,47,Yes,None,14,95,Both,None,5,5,No,"drum shooter",2026-04-01T19:11:43.244Z
