Match,Team,Alliance,Scouter,Auto Fuel,Auto Mobility,Auto Climb,Balls/Sec,Accuracy %,Field Zone,Endgame Climb,Defense Rating,Driver Rating,Played Defense,Notes,Timestamp
2,9756,Red,Lane,8,Yes,None,2,75,Bump,None,2,4,Yes,"Fast lil guy",2026-04-10T15:08:14.410Z
3,9208,Red,Lane,0,Yes,None,0,50,Trench,None,4,4,Yes,"Auto geeked out very fast intake didn't shoot any balls something must've been wrong",2026-04-10T15:17:50.246Z
5,4967,Blue,Lane,50,Yes,None,8,100,Trench,None,0,5,No,"Lobs balls back in their zone during inactive, auto track turret, supercharged, insanely good bot and driving",2026-04-10T15:34:05.525Z
6,7289,Blue,Lane,8,Yes,None,1,80,Trench,None,0,2,No,"Easily stuck on top of balls, shot little balls",2026-04-10T15:43:31.149Z
10,858,Blue,Lane,24,Yes,None,10,80,Bump,None,0,5,No,"Cool googly eyes, fast intake can hold good amount of balls",2026-04-10T16:17:38.376Z
11,1023,Red,Lane,20,Yes,None,8,80,Trench,None,0,4,No,"Auto track tureet, lobs back to their zone during inactive, gets stuck on bump",2026-04-10T16:26:09.766Z
12,904,Blue,Lane,0,No,None,0,50,Trench,None,1,2,No,"Couldn't get under trench, gets stuck on bump. Got trapped in the neutral zone",2026-04-10T16:40:55.550Z
